commonName,scientificName
Ballena azul,Balaenoptera musculus
Ballena jorobada,Megaptera novaeangliae
Ballena franca austral,Eubalaena australis
Ballena franca pigmea,Caperea marginata
Ballena minke antartica,Balaenoptera bonaerensis
Ballena minke comun,Balaenoptera acutorostrata
Rorcual comun,Balaenoptera physalus
Rorcual boreal,Balaenoptera borealis
Rorcual tropical,Balaenoptera edeni
Cachalote,Physeter macrocephalus
Cachalote pigmeo,Kogia breviceps
Cachalote enano,Kogia sima
Orca,Orcinus orca
Falsa orca,Pseudorca crassidens
Calderon de aleta larga,Globicephala melas
Calderon de aleta corta,Globicephala macrorhynchus
Delfin nariz de botella,Tursiops truncatus
Delfin chileno,Cephalorhynchus eutropia
Delfin austral,Lagenorhynchus australis
Delfin oscuro,Lagenorhynchus obscurus
Tonina overa,Cephalorhynchus commersonii
Delfin liso,Lissodelphis peronii
Delfin listado,Stenella coeruleoalba
Delfin comun,Delphinus delphis
Delfin de Risso,Grampus griseus
Marsopa espinosa,Phocoena spinipinnis
Lobo marino comun,Otaria flavescens
Lobo fino austral,Arctocephalus australis
Lobo fino de Juan Fernandez,Arctocephalus philippii
Lobo fino antartico,Arctocephalus gazella
Elefante marino del sur,Mirounga leonina
Foca leopardo,Hydrurga leptonyx
Foca cangrejera,Lobodon carcinophaga
Foca de Weddell,Leptonychotes weddellii
Chungungo,Lontra felina
Huillin,Lontra provocax
